timestamp,source_ip,host,username,event_id,event_category,result,event_description,indicator,severity
2026-08-25 09:01:12,10.10.20.15,WKSTN-104,jsmith,4625,Authentication,Failure,Logon failure - bad password,-,Medium
2026-08-25 09:01:18,10.10.20.15,WKSTN-104,jsmith,4625,Authentication,Failure,Logon failure - bad password,-,Medium
2026-08-25 09:01:25,10.10.20.15,WKSTN-104,jsmith,4625,Authentication,Failure,Logon failure - bad password,-,Medium
2026-08-25 09:01:31,10.10.20.15,WKSTN-104,jsmith,4625,Authentication,Failure,Logon failure - bad password,-,Medium
2026-08-25 09:01:42,10.10.20.15,WKSTN-104,jsmith,4625,Authentication,Failure,Logon failure - bad password,-,Medium
2026-08-25 09:02:03,10.10.20.15,WKSTN-104,jsmith,4624,Authentication,Success,Successful interactive logon,-,High
2026-08-25 09:02:15,10.10.20.15,WKSTN-104,jsmith,4672,Privilege,Success,Special privileges assigned to new logon,SeDebugPrivilege;SeBackupPrivilege,High
2026-08-25 09:02:44,10.10.20.15,WKSTN-104,jsmith,4688,Process,Success,New process created,powershell.exe,High
2026-08-25 09:03:02,10.10.20.15,WKSTN-104,jsmith,4688,Process,Success,New process created,rundll32.exe,High
2026-08-25 09:03:21,10.10.20.15,WKSTN-104,jsmith,5156,Network,Success,Outbound connection permitted,203.0.113.50:443,High
2026-08-25 09:03:36,10.10.20.15,WKSTN-104,jsmith,4688,Process,Success,New process created,cmd.exe,High
2026-08-25 09:04:01,10.10.20.15,WKSTN-104,jsmith,4698,Persistence,Success,Scheduled task created,WindowsUpdateCheck,High
2026-08-25 09:04:25,10.10.20.15,WKSTN-104,jsmith,5156,Network,Success,Outbound connection permitted,203.0.113.50:443,High
2026-08-25 09:05:10,10.10.20.15,WKSTN-104,jsmith,4688,Process,Success,New process created,powershell.exe,High
2026-08-25 09:06:15,10.10.20.15,WKSTN-104,jsmith,4624,Authentication,Success,Successful network logon,-,High
2026-08-25 09:07:02,10.10.20.22,WKSTN-118,adoe,4624,Authentication,Success,Successful interactive logon,-,Low
2026-08-25 09:07:20,10.10.20.22,WKSTN-118,adoe,4688,Process,Success,New process created,explorer.exe,Low
2026-08-25 09:08:03,10.10.20.30,SRV-FILE-01,backupsvc,4624,Authentication,Success,Successful service logon,-,Low
2026-08-25 09:08:45,10.10.20.30,SRV-FILE-01,backupsvc,4688,Process,Success,New process created,backup-agent.exe,Low
2026-08-25 09:09:10,10.10.20.15,WKSTN-104,jsmith,4634,Authentication,Success,User logoff,-,Medium
2026-08-25 09:12:04,10.10.20.15,WKSTN-104,SYSTEM,4698,Persistence,Success,Scheduled task created,WindowsUpdateCheck,High
2026-08-25 09:13:11,10.10.20.15,WKSTN-104,SYSTEM,5156,Network,Success,Outbound connection permitted,203.0.113.50:443,High
2026-08-25 09:14:20,10.10.20.15,WKSTN-104,jsmith,4688,Process,Success,New process created,powershell.exe,High
2026-08-25 09:15:02,10.10.20.15,WKSTN-104,jsmith,4104,PowerShell,Success,PowerShell script block logged,EncodedCommand,High
2026-08-25 09:16:30,10.10.20.15,WKSTN-104,jsmith,5156,Network,Success,Outbound connection permitted,203.0.113.50:443,High
